"","Lane","mean_nCount_RNA","mean_nCount_CITE","mean_nFeature_RNA","mean_percent.mito"
"1",1,6404.80216631726,5537.31663172607,2327.74171907757,2.12043186992025
"2",2,6343.82968962798,4941.15418249588,2308.20020070246,2.15049026492725
"3",3,6527.82650115473,5318.98787528868,2358.08617205543,2.09148607588199
"4",4,4843.60756501182,5197.47990543735,1854.09219858156,2.32888236674736
"5",5,5691.03811145693,4408.66750836808,2303.59022843385,1.91247409647772
"6",6,5710.41170097508,4380.19934994583,2304.57318811655,1.92876856095258
"7",7,4860.27758119884,5090.33752310536,2086.20554528651,2.23788078383295
"8",8,4804.2684144819,4738.47544735747,2046.34743029546,2.25648685456201
"9",9,6271.65591116917,5289.74892227302,2327.346178968,2.5661127324445
"10",10,6006.77529714102,5540.92908769676,2242.03244458721,2.35165694337815
"11",11,6065.64921933085,5579.73650557621,2253.23724907063,2.32332001556404
"12",12,4724.46378653113,5219.77848369335,1781.32867429055,2.39523065519012
"13",13,5830.05681738766,4154.78076734922,2317.60737997065,2.13945465113165
"14",14,5778.29628326059,4025.35309024356,2313.43298606223,2.10383254380168
"15",15,4901.2676036036,4467.42169369369,2100.67437837838,2.43112408827284
"16",16,4533.74147018031,4268.65887656033,1994.97579750347,2.38013513412625
"17",17,5907.10192429689,5348.71565517728,2105.59244378657,2.30647025908745
"18",18,5879.94536867334,5175.79444522769,2091.62350204427,2.3134538021382
"19",19,5939.18431950586,5338.00701902155,2105.26258159613,2.39531523511968
"20",20,3756.41079812207,4288.8661971831,1509.30516431925,2.77089114431054
"21",21,5260.26332115875,4242.93050482814,2120.83018962326,1.91715690428399
"22",22,5235.70176384125,4401.48005879471,2116.51592356688,1.91509338778608
"23",23,4747.08461201228,4046.93654099079,1921.06466462078,2.33242812143504
"24",24,4679.14793733093,4266.30866771867,1903.4686091073,2.31871460690295
