"","Lane","mean_nCount_RNA","mean_nCount_CITE","mean_nFeature_RNA","mean_percent.mito"
"1",1,4174.28253150456,3558.23685859501,1691.16646940054,1.8433200064362
"2",2,4839.00034578147,3241.87538035961,1873.71556016598,1.96542394486405
"3",3,5480.49625008761,3334.3410667975,2058.38957033714,1.96126568817541
"4",4,4689.92141230068,1506.41116173121,1803.2437357631,2.29690312439161
"5",5,5322.81823953824,2985.29518037518,2187.56652236652,1.87622977366396
"6",6,5021.35755290409,3024.78495047276,2087.28872129671,1.86464938275026
"7",7,4011.68325511836,2226.14991490898,1799.62369140323,2.13048506675976
"8",8,4073.25035845964,3184.70309299467,1795.31651986891,2.14580625712075
"9",9,5356.05707610147,2624.06775700935,2077.99599465955,2.76227442800224
"10",10,5037.3971185065,2980.07609577922,1970.66152597403,2.53352336438847
"11",11,4867.58334910123,2867.18448438978,1913.25789971618,2.44723517686641
"12",12,2973.1709486166,2548.19367588933,1253.27766798419,2.13712856631976
"13",13,4167.90428637272,2468.08219388539,1820.90444000615,2.28516553674513
"14",14,4338.39253660841,2381.18233349079,1884.93733270351,2.2649396158729
"15",15,3410.95919881306,2387.20586053413,1644.18972551929,2.98988494855081
"16",16,3077.71145905024,2233.68255333792,1531.38024776325,2.90381415470725
"17",17,5288.16693397487,3524.25187115745,1924.39541566426,2.21546020049311
"18",18,5385.19057971014,3542.91600790513,1946.31212121212,2.24245132561559
"19",19,5449.42621975407,3546.57444135925,1960.30464101547,2.28814014104542
"20",20,3838.09241499564,2165.37837837838,1476.59982563208,2.37691159245931
"21",21,4724.82546868081,3215.31584903804,1950.68730010333,1.86992431317115
"22",22,4677.78864828122,3170.89371722664,1938.80719557196,1.8671074954758
"23",23,4352.14535168362,2937.70831746723,1790.43072403851,2.27424622865745
"24",24,4330.8569757076,2994.6779028304,1785.52039224426,2.26369992272816
